Artnamn;Antal;Enhet;Antal substrat;Ålder-Stadium;Kön;Aktivitet;Metod;Lokalnamn;Ost;Nord;Noggrannhet;Diffusion;Djup min;Djup max;Höjd min;Höjd max;Startdatum;Starttid;Slutdatum;Sluttid;Publik kommentar;Intressant kommentar;Privat kommentar;Ej återfunnen;Dölj fyndet t.o.m.;Andrahand;Osäker artbestämning;Ospontan;Biotop;Biotop-beskrivning;Art som substrat;Art som substrat beskrivning;Substrat;Substrat-beskrivning;Offentlig samling;Privat samling;Samlings-nummer;Bestämningsmetod;Artbestämd av;Artbestämd av (fritext);Bestämningsår;Beskrivning artbestämning;Bekräftad av;Bekräftad av (fritext);Bekräftelseår;Länk till BOLD/GenBank;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Med-observatör;Externid;Ej funnen
;1;;;;;;;Imported locality 11;618012;7215985;10 m;;;;326;;2026-07-28;13:27;;;;;;;;;;;;;;;;;;Nils Ericson;NE26;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 11;618012;7215985;10 m;;;;326;;2026-07-28;13:27;;;;;;;;;;;;;;;;;;Nils Ericson;NE26-2;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 10;617211;7214568;5 m;;;;357;;2026-07-28;16:30;;;;;;;;;;;;;;;;;;Nils Ericson;NE27;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 9;617457;7216950;10 m;;;;336;;2026-07-29;09:17;;;;;;;;;;;;;;;;;;Nils Ericson;NE28;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 8;617529;7216848;10 m;;;;323;;2026-07-29;10:28;;;;;;;;;;;;;;;;;;Nils Ericson;NE29;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 8;617529;7216848;10 m;;;;323;;2026-07-29;10:28;;;;;;;;;;;;;;;;;;Nils Ericson;NE29-2;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 8;617529;7216848;10 m;;;;323;;2026-07-29;10:28;;;;;;;;;;;;;;;;;;Nils Ericson;NE29-3;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 7;620223;7217577;10 m;;;;311;;2026-07-29;17:01;;;;;;;;;;;;;;;;;;Nils Ericson;NE30;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 6;619361;7214671;10 m;;;;327;;2026-07-30;11:04;;;;;;;;;;;;;;;;;;Nils Ericson;NE31;;;;;;;;;;Nis Ericson;;;;;;;;;;;
;1;;;;;;;Imported locality 6;619361;7214671;10 m;;;;327;;2026-07-30;11:04;;;;;;;;;;;;;;;;;;Nils Ericson;NE31-2;;;;;;;;;;Nis Ericson;;;;;;;;;;;
